Rank,ICP Score,Company,Domain,City,Country,Industry,Sub-Industry,Employees,Revenue (EUR),Sales Team,Marketing Team,BizDev Team,Total GTM,Growth Signal,Offices,Has Enrichment,ICP Reasons
1,110,"yoummday",yoummday.com,"Munich",DE,"Computer Software","["Human Resources", "Staffing And Recruiting"]",750,65000000,34,7,10,51,,7,true,"Tier-1 industry; Ideal size (200-5K); Ideal revenue (50-500M); Germany HQ; Ideal sales team (34); Multi-location (7 offices); Hidden Champion profile"
2,105,"AMBOSS",amboss.com,"Berlin",DE,"Information Technology & Services","["Medical Practice"]",1100,340200000,29,33,11,73,5,1,true,"Tier-1 industry; Ideal size (200-5K); Ideal revenue (50-500M); Germany HQ; Ideal sales team (29); Hidden Champion profile"
3,103,"Uberall",uberall.com,"Berlin",DE,"Computer Software","["Marketing And Advertising"]",410,50000000,0,0,0,0,20,3,false,"Tier-1 industry; Ideal size (200-5K); Ideal revenue (50-500M); Germany HQ; Strong growth signal; Multiple offices; Hidden Champion profile"
4,102,"Detecon",detecon.com,"Cologne",DE,"Information Technology & Services","",1300,247000000,8,10,62,80,,1,true,"Tier-1 industry; Ideal size (200-5K); Ideal revenue (50-500M); Germany HQ; Acceptable sales team (8); Hidden Champion profile"
5,102,"MaibornWolff GmbH",maibornwolff.de,"Munich",DE,"Information Technology & Services","",800,95000000,4,9,9,22,,12,true,"Tier-1 industry; Ideal size (200-5K); Ideal revenue (50-500M); Germany HQ; Small sales team (4); Multi-location (12 offices); Hidden Champion profile"
6,101,"CNT Management Consulting",cnt-online.com,"Vienna",AT,"Information Technology & Services","",490,156000000,0,0,0,0,20,14,false,"Tier-1 industry; Ideal size (200-5K); Ideal revenue (50-500M); AT HQ; Strong growth signal; Multi-location (14 offices); Hidden Champion profile"
7,100,"PŸUR | Tele Columbus",telecolumbus.com,"Berlin",DE,"Telecommunications","",610,498968000,0,0,0,0,20,1,false,"Tier-1 industry; Ideal size (200-5K); Ideal revenue (50-500M); Germany HQ; Strong growth signal; Hidden Champion profile"
8,96,"VECTOR Informatik",vector.com,"Stuttgart",DE,"Computer Software","",2900,1342000000,87,30,73,190,,5,true,"Tier-1 industry; Ideal size (200-5K); Above ideal (500M-2B); Germany HQ; Large sales team (87); Multi-location (5 offices)"
9,96,"FRITZ!",fritz.com,"Berlin",DE,"Telecommunications","["Computer Hardware", "Computer Software"]",880,715000000,0,0,0,0,24,1,false,"Tier-1 industry; Ideal size (200-5K); Above ideal (500M-2B); Germany HQ; Strong growth signal; Hidden Champion profile"
10,95,"CONET",conet.de,"Bonn",DE,"Information Technology & Services","["Computer Software"]",2000,348000000,0,0,0,0,,19,false,"Tier-1 industry; Ideal size (200-5K); Ideal revenue (50-500M); Germany HQ; Multi-location (19 offices); Hidden Champion profile"
